kG,kL,kF,kR,vG0,vF0,vE,KI_G_L,KI_F0_L,KI_F0_I,KA_G_I,a,Imax,deltaI,Scenario,Replicate
0.08105007144417674,0.40666658609622586,0.6996417112053184,0.27342554442278966,2.4999999999999996,11.798983660559262,1.0,750000000.0,750000000.0,0.18755041978605536,4.52737104182879,10.0,1.0,0.0,GRPKO_LactateKO,1
0.07081647564916899,0.3930642858301437,0.7238842228973446,0.31598119323135526,2.4999999999999996,11.062029282971416,1.0,1.7052102655205954,4.6280269062118595,0.2897045826649572,5.2498800991771235,10.0,1.0,0.0,WT,2
0.07081647564916899,0.3930642858301437,0.7238842228973446,0.31598119323135526,2.4999999999999996,11.062029282971416,1.0,1.7052102655205954,750000000.0,0.2897045826649572,5.2498800991771235,10.0,1.0,0.0,GRPKO,2
0.07081647564916899,0.3930642858301437,0.7238842228973446,0.31598119323135526,2.4999999999999996,11.062029282971416,1.0,1.7052102655205954,4.6280269062118595,0.2897045826649572,5.2498800991771235,10.0,0.1,0.0,I0KO,2
0.07081647564916899,0.3930642858301437,0.7238842228973446,0.31598119323135526,2.4999999999999996,11.062029282971416,1.0,1.7052102655205954,750000000.0,0.2897045826649572,5.2498800991771235,10.0,0.1,0.0,I0KO_GRPKO,2
0.07081647564916899,0.3930642858301437,0.7238842228973446,0.31598119323135526,2.4999999999999996,11.062029282971416,1.0,750000000.0,4.6280269062118595,0.2897045826649572,5.2498800991771235,10.0,1.0,0.0,LactateKO,2
0.07081647564916899,0.3930642858301437,0.7238842228973446,0.31598119323135526,2.4999999999999996,11.062029282971416,1.0,750000000.0,4.6280269062118595,0.2897045826649572,5.2498800991771235,10.0,0.1,0.0,I0KO_LactateKO,2
0.07081647564916899,0.3930642858301437,0.7238842228973446,0.31598119323135526,2.4999999999999996,11.062029282971416,1.0,750000000.0,750000000.0,0.2897045826649572,5.2498800991771235,10.0,0.1,0.0,TripleKO,2
0.07081647564916899,0.3930642858301437,0.7238842228973446,0.31598119323135526,2.4999999999999996,11.062029282971416,1.0,750000000.0,750000000.0,0.2897045826649572,5.2498800991771235,10.0,1.0,0.0,GRPKO_LactateKO,2
0.06714859092862686,0.38082272138286105,0.7488198011508063,0.2789487221027644,2.4999999999999996,11.875481310818014,1.0,1.727272702350528,4.66202636539897,0.279267059011203,6.3885952584467205,10.0,1.0,0.0,WT,3
0.06714859092862686,0.38082272138286105,0.7488198011508063,0.2789487221027644,2.4999999999999996,11.875481310818014,1.0,1.727272702350528,750000000.0,0.279267059011203,6.3885952584467205,10.0,1.0,0.0,GRPKO,3
0.06714859092862686,0.38082272138286105,0.7488198011508063,0.2789487221027644,2.4999999999999996,11.875481310818014,1.0,1.727272702350528,4.66202636539897,0.279267059011203,6.3885952584467205,10.0,0.1,0.0,I0KO,3
0.06714859092862686,0.38082272138286105,0.7488198011508063,0.2789487221027644,2.4999999999999996,11.875481310818014,1.0,1.727272702350528,750000000.0,0.279267059011203,6.3885952584467205,10.0,0.1,0.0,I0KO_GRPKO,3
